Disease Name,Symptoms
10q22.3q23.3 microduplication syndrome,"Symptoms
The types of symptoms experienced, and their intensity, may vary among people with this disease. Your experience may be different from others. Consult your health care team for more information.

The following describes the symptom(s) associated with this disease along with the corresponding body system(s), description, synonyms, and frequency (Note: Not all possible symptoms may be listed):
21 Symptoms
Filter and Sort
Chronic otitis media
Medical Term
Deeply set eye
Frequency
Very frequent
Description
An eye that is more deeply recessed into the plane of the face than is typical.
Synonym
Deep set eye; Deep-set eyes; Deeply set eye; Enophthalmos; Ocular depression; Sunken eye; Sunken eyes
Open detail view
Full cheeks
This information comes from the Human Phenotype Ontology (HPO)"
11p partial monosomy syndrome,"Symptoms
The types of symptoms experienced, and their intensity, may vary among people with this disease. Your experience may be different from others. Consult your health care team for more information.

The following describes the symptom(s) associated with this disease along with the corresponding body system(s), description, synonyms, and frequency (Note: Not all possible symptoms may be listed):
18 Symptoms
Filter and Sort
Ambiguous genitalia
Medical Term
Aplasia/Hypoplasia of the iris
Frequency
Very frequent
Description
Absence or underdevelopment of the iris.
Synonym
Absent/small iris; Absent/underdeveloped iris
Open detail view
Cataract
This information comes from the Human Phenotype Ontology (HPO)"
11p15.4 microduplication syndrome,"Symptoms
The types of symptoms experienced, and their intensity, may vary among people with this disease. Your experience may be different from others. Consult your health care team for more information.

The following describes the symptom(s) associated with this disease along with the corresponding body system(s), description, synonyms, and frequency (Note: Not all possible symptoms may be listed):
18 Symptoms
Filter and Sort
Synophrys
Medical Term
Abnormal facial shape
Frequency
Frequent
Description
An abnormal morphology (form) of the face or its components.
Synonym
Abnormal facial shape; Abnormal morphology of the face; Distinctive facies; Dysmorphic facial features; Dysmorphic facies; Facial dysmorphism; Unusual facial appearance; Unusual facies
Open detail view
Aggressive behavior
This information comes from the Human Phenotype Ontology (HPO)"
11q partial monosomy syndrome,"Symptoms
The types of symptoms experienced, and their intensity, may vary among people with this disease. Your experience may be different from others. Consult your health care team for more information.

The following describes the symptom(s) associated with this disease along with the corresponding body system(s), description, synonyms, and frequency (Note: Not all possible symptoms may be listed):
Blood And Blood-Forming Tissue
75 Symptoms
Filter and Sort
Bipolar affective disorder
Medical Term
Bone marrow hypocellularity
Frequency
Very frequent
Description
A reduced number of hematopoietic cells present in the bone marrow relative to marrow fat.
Synonym
Bone marrow failure; Bone marrow hypoplasia; Hypoplastic bone marrow; Myeloid hypoplasia
Open detail view
Broad columella
This information comes from the Human Phenotype Ontology (HPO)"
11q22.2q22.3 microdeletion syndrome,"Symptoms
The types of symptoms experienced, and their intensity, may vary among people with this disease. Your experience may be different from others. Consult your health care team for more information.

The following describes the symptom(s) associated with this disease along with the corresponding body system(s), description, synonyms, and frequency (Note: Not all possible symptoms may be listed):
Nervous System
44 Symptoms
Filter and Sort
Abnormal social behavior
Medical Term
Anxiety
Frequency
Frequent
Description
Intense feelings of nervousness, tension, or panic often arise in response to interpersonal stresses. There is worry about the negative effects of past unpleasant experiences and future negative possibilities. Individuals may feel fearful, apprehensive, or threatened by uncertainty, and they may also have fears of falling apart or losing control.
Synonym
Anxiety; Anxiousness; Excessive, persistent worry and fear
Open detail view
Attention deficit hyperactivity disorder
This information comes from the Human Phenotype Ontology (HPO)"
12q14 microdeletion syndrome,"Symptoms
The types of symptoms experienced, and their intensity, may vary among people with this disease. Your experience may be different from others. Consult your health care team for more information.

The following describes the symptom(s) associated with this disease along with the corresponding body system(s), description, synonyms, and frequency (Note: Not all possible symptoms may be listed):
Nervous System
37 Symptoms
Filter and Sort
Deeply set eye
Medical Term
Delayed speech and language development
Frequency
Very frequent
Description
A degree of language development that is significantly below the norm for a child of a specified age.
Synonym
Deficiency of speech development; Delayed language development; Delayed speech; Delayed speech acquisition; Delayed speech and language development; Delayed speech development; Impaired speech and language development; Impaired speech development; Language delay; Language delayed; Language development deficit; Late-onset speech development; Poor language development; Speech and language delay; Speech and language difficulties; Speech delay
Open detail view
Diabetes mellitus
This information comes from the Human Phenotype Ontology (HPO)"
12q15q21.1 microdeletion syndrome,No symptoms data found
13q12.3 microdeletion syndrome,"Symptoms
The types of symptoms experienced, and their intensity, may vary among people with this disease. Your experience may be different from others. Consult your health care team for more information.

The following describes the symptom(s) associated with this disease along with the corresponding body system(s), description, synonyms, and frequency (Note: Not all possible symptoms may be listed):
Immune System, Skin System
30 Symptoms
Filter and Sort
Allergy
Medical Term
Atopic dermatitis
Frequency
Frequent
Description
Atopic dermatitis (AD) or atopic eczema is an itchy, inflammatory skin condition with a predilection for the skin flexures. It is characterized by poorly defined erythema with edema, vesicles, and weeping in the acute stage and skin thickening (lichenification) in the chronic stage.
Synonym
Allergic eczema; Atopic dermatitis, chronic; Atopic eczema; Dermatitis, Atopic; Infantile eczema; Neurodermatitis; Prurigo Besnier
Open detail view
Camptodactyly
This information comes from the Human Phenotype Ontology (HPO)"
14q11.2 microduplication syndrome,"Symptoms
The types of symptoms experienced, and their intensity, may vary among people with this disease. Your experience may be different from others. Consult your health care team for more information.

The following describes the symptom(s) associated with this disease along with the corresponding body system(s), description, synonyms, and frequency (Note: Not all possible symptoms may be listed):
Nervous System
24 Symptoms
Filter and Sort
Autism
Medical Term
Delayed speech and language development
Frequency
Very frequent
Description
A degree of language development that is significantly below the norm for a child of a specified age.
Synonym
Deficiency of speech development; Delayed language development; Delayed speech; Delayed speech acquisition; Delayed speech and language development; Delayed speech development; Impaired speech and language development; Impaired speech development; Language delay; Language delayed; Language development deficit; Late-onset speech development; Poor language development; Speech and language delay; Speech and language difficulties; Speech delay
Open detail view
Depressed nasal bridge
This information comes from the Human Phenotype Ontology (HPO)"
14q24.1q24.3 microdeletion syndrome,"Symptoms
The types of symptoms experienced, and their intensity, may vary among people with this disease. Your experience may be different from others. Consult your health care team for more information.

The following describes the symptom(s) associated with this disease along with the corresponding body system(s), description, synonyms, and frequency (Note: Not all possible symptoms may be listed):
Cardiovascular System
24 Symptoms
Filter and Sort
Wide nasal bridge
Medical Term
Abnormal heart morphology
Frequency
Frequent
Description
Any structural anomaly of the heart.
Synonym
Abnormality of cardiac morphology; Abnormality of the heart; Abnormally shaped heart; Cardiac abnormality; Cardiac anomalies; Cardiac anomaly; Congenital heart defect; Congenital heart defects; Heart defect
Open detail view
Atrial septal defect
This information comes from the Human Phenotype Ontology (HPO)"
